OID,OBJECTID_1,MIN,MAX,RANGE,MEAN,STD
201,TD5-11,0.806652725,0.877259552,0.070606828,0.855531945,0.014468523
202,TD5-12,0.768349349,0.881213427,0.112864077,0.854051183,0.020903463
203,TD5-13,0.723429322,0.882905185,0.159475863,0.8525717,0.025219738
204,TDA4-1,0.823699772,0.873118579,0.049418807,0.854127692,0.013749501
205,TDA4-2,0.816520274,0.885471463,0.06895119,0.85359264,0.016182441
206,TDA4-3,0.838383555,0.888051629,0.049668074,0.869480334,0.010137473
207,TDA4-4,0.850630403,0.886742949,0.036112547,0.869023848,0.008857349
208,TDA4-5,0.805144727,0.879137397,0.07399267,0.857131996,0.016926588
209,TDA4-6,0.781996489,0.888144672,0.106148183,0.849506822,0.021846589
210,TDA4-7,0.801980257,0.83787173,0.035891473,0.818609734,0.0147704
211,TDA4-8,0.797209978,0.861392677,0.064182699,0.823466104,0.01882841
212,TDA4-9,0.798675537,0.865591407,0.06691587,0.831172007,0.019045229
213,TDA4-10,0.84688431,0.859338105,0.012453794,0.853111207,0.006226897
214,TD6-1,0.711332917,0.890746295,0.179413378,0.786326854,0.031880996
215,TD6-2,0.695337653,0.864867508,0.169529855,0.783376277,0.028811637
216,TD6-3,0.699282289,0.863724768,0.16444248,0.784829902,0.031063157
217,TD6-4,0.700631917,0.875605881,0.174973965,0.783897476,0.030724664
218,TD6-5,0.693891168,0.860523045,0.166631877,0.78374186,0.032037165
219,TD6-6,0.716761172,0.898209929,0.181448758,0.795104734,0.03010987
220,TD6-7,0.711392403,0.884308159,0.172915757,0.800816952,0.032982665
221,TD6-8,0.732203782,0.893408895,0.161205113,0.810264978,0.032201687
222,TD6-9,0.685947597,0.890620887,0.20467329,0.820831196,0.037450108
223,TD6-10,0.733144164,0.898989975,0.165845811,0.815917162,0.041054309
224,TTB1-1,0.610365868,0.945010245,0.334644377,0.849061513,0.041222903
225,TTB1-2,0.541786134,0.914813995,0.373027861,0.81280405,0.051774249
226,TTB1-3,0.6051687,0.908548653,0.303379953,0.875709179,0.030834427
227,TTB1-4,0.801897049,0.907196403,0.105299354,0.873330498,0.01414794
228,TTB1-5,0.58596921,0.898431659,0.312462449,0.849879022,0.051541415
229,TTB2-1,0.726362705,0.904274106,0.177911401,0.869162973,0.018641293
230,TTB2-2,0.648023129,0.894056261,0.246033132,0.866734624,0.02043455
231,TTB2-3,0.833816946,0.893699288,0.059882343,0.865752441,0.01060646
232,TTB2-4,0.760934889,0.894022644,0.133087754,0.860172313,0.012683127
233,TTB2-5,0.764344394,0.893594623,0.129250228,0.853724984,0.018453497
234,TTB2-6,0.758948267,0.886060119,0.127111852,0.855058463,0.016384373
235,TTB2-7,0.730782866,0.892932951,0.162150085,0.861709783,0.015836739
236,TTB2-8,0.82713604,0.889304578,0.062168539,0.865256677,0.009609095
237,TTB3-1,0.65783,0.898107111,0.240277112,0.828106102,0.054488476
238,TTB3-2,0.681365609,0.898844659,0.21747905,0.854278364,0.032443096
239,TTB3-3,0.809895694,0.899094522,0.089198828,0.86783638,0.014650236
240,TTB3-4,0.810721934,0.900508225,0.089786291,0.873039708,0.011952363
241,TTB3-5,0.813013136,0.898122609,0.085109472,0.871666692,0.01020774
242,TTB3-6,0.815483868,0.895436704,0.079952836,0.872699907,0.009431873
243,TTB3-7,0.83305496,0.890960515,0.057905555,0.865878503,0.009892022
244,TTB3-8,0.851076066,0.884211063,0.033134997,0.868233695,0.009049232
245,TTB4-1,0.778671801,0.894527018,0.115855217,0.857965666,0.020820997
246,TTB4-2,0.828723192,0.900191426,0.071468234,0.870272654,0.011877581
247,TTB4-3,0.820950091,0.900265813,0.079315722,0.86866609,0.010577199
248,TTB4-4,0.84383291,0.897774458,0.053941548,0.871229437,0.009563973
249,TTB4-5,0.690873265,0.901387155,0.21051389,0.865099352,0.015961187
250,TTB4-6,0.685506284,0.906071603,0.220565319,0.857691071,0.034480335
251,TTB4-7,0.726973712,0.901237369,0.174263656,0.868702486,0.014483505
252,TTB4-8,0.628220856,0.896747112,0.268526256,0.863280389,0.023994068
253,TTB4-9,0.7632038,0.895353556,0.132149756,0.860940073,0.016062972
254,TTB5-1,0.63245976,0.901235402,0.268775642,0.859892681,0.021877054
255,TTB5-2,0.69746232,0.896986783,0.199524462,0.860479541,0.025472157
256,TTB5-3,0.710395813,0.911155343,0.20075953,0.861826541,0.022585237
257,TTB5-4,0.767322183,0.896992087,0.129669905,0.858308058,0.01844857
258,TTB5-5,0.772141993,0.903540075,0.131398082,0.863140095,0.023773038
259,TTB5-6,0.815184534,0.91633302,0.101148486,0.870035526,0.019640778
260,TTB5-7,0.722388089,0.911710024,0.189321935,0.874879147,0.020545936
261,TTB5-8,0.685030639,0.918375552,0.233344913,0.865536867,0.031661107
262,TTB5-9,0.558849573,0.916325212,0.357475638,0.85406249,0.041651842
263,TTB5-10,0.713635087,0.898245454,0.184610367,0.84308642,0.034234994
264,TTB6-1,0.516737163,0.889906883,0.37316972,0.851929019,0.048244246
265,TTB6-2,0.536529183,0.893504918,0.356975734,0.855746461,0.034139751
266,TTB6-3,0.781212807,0.896754324,0.115541518,0.86304916,0.012081033
267,TTB6-4,0.544519186,0.890931308,0.346412122,0.855972523,0.034409121
268,TTB6-5,0.746376872,0.893591642,0.14721477,0.859450645,0.01333492
269,TTB6-6,0.780300796,0.897062123,0.116761327,0.863300226,0.010956426
270,TTB6-7,0.613499165,0.892809689,0.279310524,0.860604763,0.024442032
