OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Square Kilometers),PERCENTAGE
360,TUB1-13,Non-forest,0.030818473,98.22640535
361,TUB1-2,Intact forest 2016,0.031374937,100
362,TUB1-3,Intact forest 2016,0.031374937,100
363,TUB1-4,Intact forest 2016,0.031374937,100
364,TUB1-5,Intact forest 2016,0.031374937,100
365,TUB1-6,Intact forest 2016,0.028423205,90.59206923
366,TUB1-6,Non-forest,0.002951732,9.407930766
367,TUB1-7,Intact forest 2016,0.026404222,84.15705101
368,TUB1-7,Non-forest,0.004970715,15.84294899
369,TUB1-8,Intact forest 2016,0.024242302,77.26645625
370,TUB1-8,Non-forest,0.007132635,22.73354375
371,TUB1-9,Intact forest 2016,0.029534143,94.13291632
372,TUB1-9,Non-forest,0.001840794,5.867083684
373,TUB2-1,Intact forest 2016,0.031374937,100
374,TUB2-2,Intact forest 2016,0.031374937,100
375,TUB2-3,Intact forest 2016,0.031374937,100
376,TUB2-4,Intact forest 2016,0.031374937,100
377,TUB2-5,Intact forest 2016,0.031374937,100
378,TUB2-6,Intact forest 2016,0.031374937,100
379,TUB2-7,Intact forest 2016,0.031374937,100
380,TUB2-8,Intact forest 2016,0.031374937,100
381,TUB3-1,Intact forest 2016,0.031374937,100
382,TUB3-10,Intact forest 2016,0.031374937,100
383,TUB3-11,Intact forest 2016,0.031374937,100
384,TUB3-12,Intact forest 2016,0.031374937,100
385,TUB3-2,Intact forest 2016,0.031374937,100
386,TUB3-3,Intact forest 2016,0.031374937,100
387,TUB3-4,Intact forest 2016,0.031374937,100
388,TUB3-5,Intact forest 2016,0.031374937,100
389,TUB3-6,Intact forest 2016,0.031374937,100
390,TUB3-7,Intact forest 2016,0.031374937,100
391,TUB3-8,Intact forest 2016,0.031374937,100
392,TUB3-9,Intact forest 2016,0.031374937,100
