observer1,date,start,cloudCover,occasion
Katie,2017-12-09,6.35,100,3
Katie,2017-12-09,6.7,100,3
Katie,2017-12-09,9.71666666666667,100,3
Katie,2017-12-09,9.31666666666667,100,3
Katie,2017-12-09,8.9,100,3
Katie,2017-12-09,8.51666666666667,100,3
,,,,
,,,,
Katie,2017-12-08,5.51666666666667,100,3
Katie,2017-12-08,9.35,60,3
Katie,2017-12-08,5.96666666666667,100,3
Katie,2017-12-08,6.38333333333333,100,3
Katie,2017-12-08,6.81666666666667,100,3
Katie,2017-12-08,7.21666666666667,100,3
Katie,2017-12-08,7.63333333333333,100,3
Katie,2017-12-08,8.08333333333333,100,3
Katie,2017-12-08,8.5,80,3
Katie,2017-12-08,8.9,60,3
Indah,2017-12-12,5.5,100,3
Indah,2017-12-12,6.3,60,3
Indah,2017-12-12,7.18333333333333,20,3
Indah,2017-12-12,8,0,3
Indah,2017-12-12,9.03333333333333,100,3
Indah,2017-12-14,5.5,100,3
Indah,2017-12-14,6.05,80,3
Indah,2017-12-14,6.48333333333333,60,3
Indah,2017-12-14,6.86666666666667,40,3
Indah,2017-12-14,7.3,40,3
Indah,2017-12-14,7.7,30,3
Indah,2017-12-14,8.15,0,3
Indah,2017-12-14,8.58333333333333,0,3
Indah,2017-12-13,5.5,100,3
Indah,2017-12-13,5.98333333333333,100,3
Indah,2017-12-13,6.5,10,3
Indah,2017-12-13,7,50,3
Indah,2017-12-13,7.66666666666667,50,3
,,,,
Indah,2017-12-13,8.71666666666667,50,3
Indah,2017-12-13,9.33333333333333,20,3
Indah,2017-12-15,5.5,100,3
Indah,2017-12-15,6.01666666666667,100,3
Indah,2017-12-15,6.58333333333333,70,3
Indah,2017-12-15,7.16666666666667,30,3
Indah,2017-12-15,7.58333333333333,0,3
Indah,2017-12-15,8.03333333333333,0,3
Indah,2017-12-15,8.51666666666667,0,3
Indah,2017-12-15,8.98333333333333,0,3
Indah,2017-12-15,9.36666666666667,0,3
Katie,2017-12-10,5.51666666666667,20,3
Katie,2017-12-10,9.35,100,3
Katie,2017-12-10,5.91666666666667,70,3
Katie,2017-12-10,6.3,80,3
Katie,2017-12-10,6.68333333333333,70,3
Katie,2017-12-10,7.08333333333333,60,3
Katie,2017-12-10,7.46666666666667,40,3
Katie,2017-12-10,7.9,50,3
Katie,2017-12-10,8.35,60,3
Katie,2017-12-10,8.78333333333333,60,3
Indah,2017-12-10,5.5,90,3
Indah,2017-12-10,6,70,3
Indah,2017-12-10,6.58333333333333,40,3
Indah,2017-12-10,7.16666666666667,20,3
Indah,2017-12-10,7.71666666666667,20,3
Indah,2017-12-10,8.16666666666667,0,3
Indah,2017-12-10,8.58333333333333,10,3
Indah,2017-12-10,9.03333333333333,0,3
Indah,2017-12-10,9.5,0,3
Indah,2017-12-08,5.58333333333333,100,3
Indah,2017-12-08,6.15,100,3
Indah,2017-12-08,6.46666666666667,100,3
Indah,2017-12-08,6.93333333333333,100,3
Indah,2017-12-08,7.35,100,3
Indah,2017-12-08,7.8,80,3
Indah,2017-12-08,8.23333333333333,60,3
Indah,2017-12-08,8.71666666666667,45,3
Indah,2017-12-08,9.16666666666667,30,3
Indah,2017-12-07,5.58333333333333,100,3
Indah,2017-12-07,6.08333333333333,100,3
Indah,2017-12-07,6.58333333333333,100,3
Indah,2017-12-07,7,100,3
Indah,2017-12-07,7.45,100,3
Indah,2017-12-07,7.91666666666667,90,3
,,,,
Indah,2017-12-07,8.83333333333333,60,3
Indah,2017-12-07,9.25,50,3
Katie,2018-01-24,5.5,100,4
Katie,2018-01-24,5.98333333333333,100,4
Katie,2018-01-24,6.41666666666667,100,4
Katie,2018-01-24,7.91666666666667,100,4
Katie,2018-01-24,7.36666666666667,90,4
Katie,2018-01-24,7.9,100,4
Katie,2018-01-24,8.38333333333333,100,4
Katie,2018-01-26,5.53333333333333,100,4
Katie,2018-01-26,6.08333333333333,100,4
Katie,2018-01-26,6.76666666666667,100,4
Katie,2018-01-26,7.28333333333333,100,4
Katie,2018-01-26,7.91666666666667,100,4
Katie,2018-01-26,8.56666666666667,100,4
Katie,2018-01-25,5.55,0,4
Katie,2018-01-25,6.28333333333333,0,4
Katie,2018-01-25,6.73333333333333,20,4
Katie,2018-01-25,7.18333333333333,20,4
Katie,2018-01-25,7.68333333333333,30,4
Katie,2018-01-25,8.2,30,4
Katie,2018-01-25,8.7,0,4
Katie,2018-01-31,5.53333333333333,100,4
Katie,2018-01-31,5.95,100,4
Katie,2018-01-31,6.36666666666667,100,4
Katie,2018-01-31,6.76666666666667,100,4
Katie,2018-01-31,7.18333333333333,100,4
Katie,2018-01-31,7.75,100,4
Katie,2018-01-31,8.31666666666667,60,4
Katie,2018-01-31,8.85,70,4
Katie,2018-01-29,5.51666666666667,100,4
Katie,2018-01-29,9.08333333333333,100,4
Katie,2018-01-29,5.9,100,4
Katie,2018-01-29,6.28333333333333,100,4
Katie,2018-01-29,6.7,100,4
Katie,2018-01-29,7.08333333333333,100,4
